Amount,Transaction_type,Device_type,Location,Is_foreign,Is_high_risk_country,Previous_fraud,Is_fraud
92892.75,POS,Web,Kolkata,1,0,0,1
69789.06,POS,Mobile,Hyderabad,0,0,0,0
50866.03,Transfer,Mobile,Delhi,1,0,0,1
1840.28,Online,Mobile,Delhi,1,0,1,0
71433.92,POS,Mobile,Hyderabad,1,0,0,1
80718.53,Transfer,Web,Chennai,0,0,0,0
68904.55,Online,Mobile,Mumbai,1,1,1,1
51043.58,POS,ATM,Chennai,0,0,1,0
29625.28,Online,Web,Hyderabad,1,0,0,0
63642.33,Online,Mobile,Ahmedabad,1,0,0,1
96090.16,Transfer,Web,Hyderabad,1,0,1,1
59288.24,POS,Mobile,Kolkata,0,0,1,1
30194.89,ATM,Mobile,Pune,0,0,0,0
43386.2,Transfer,ATM,Mumbai,1,0,0,0
13281.26,ATM,Web,Delhi,0,0,1,1
12906.74,Online,Web,Bangalore,0,0,1,1
98408.94,ATM,ATM,Chennai,0,0,0,0
31932.13,Online,Web,Pune,1,0,1,1
34450.69,Transfer,ATM,Chennai,0,0,1,0
77542.1,ATM,Web,Bangalore,1,0,0,1
81326.78,Transfer,Mobile,Mumbai,0,0,0,0
70274.92,ATM,ATM,Delhi,0,0,1,1
27003.9,ATM,POS,Hyderabad,0,0,1,0
70575.71,POS,ATM,Delhi,0,0,1,1
19822.59,Online,Web,Bangalore,0,0,0,0
59091.21,Transfer,ATM,Ahmedabad,0,0,0,0
76693.19,POS,Web,Hyderabad,0,0,1,0
73522.5,Online,Mobile,Hyderabad,1,0,0,1
73985.91,Transfer,Mobile,Kolkata,1,0,1,1
71461.3,Online,Web,Mumbai,1,1,0,1
54478.77,Transfer,Mobile,Delhi,0,0,0,0
90516.22,POS,Web,Bangalore,1,1,0,1
40833.28,Online,Web,Kolkata,0,0,0,0
87239.16,POS,Web,Mumbai,1,0,1,1
85363.63,Online,Web,Kolkata,1,0,1,1
31015.37,Online,POS,Delhi,0,0,1,0
16189.52,Transfer,Mobile,Pune,0,0,0,0
49586.89,ATM,Web,Bangalore,0,0,1,1
42019.63,Transfer,Web,Bangalore,1,0,0,0
99056.56,ATM,ATM,Bangalore,1,0,1,1
69251.39,POS,Mobile,Hyderabad,0,0,0,0
24893.32,POS,ATM,Pune,0,0,1,1
60714.19,ATM,POS,Delhi,0,0,0,0
26165.65,ATM,Web,Bangalore,1,0,0,0
82725.9,Online,ATM,Delhi,1,0,1,1
62032.88,Transfer,POS,Pune,0,0,1,0
74777.51,POS,Mobile,Ahmedabad,1,1,0,1
56180.58,ATM,Mobile,Pune,1,0,0,1
25124.26,ATM,Mobile,Ahmedabad,0,0,0,0
33825.06,Transfer,Web,Kolkata,1,0,1,0
22189.82,ATM,Mobile,Kolkata,1,0,0,0
588.69,Transfer,Web,Kolkata,0,0,0,0
40085.94,POS,Web,Chennai,0,0,1,0
2240.55,ATM,Web,Kolkata,1,0,1,0
15338.96,Transfer,Mobile,Bangalore,0,0,1,0
2042.21,Online,Web,Pune,1,0,0,0
22503.91,POS,Mobile,Pune,1,0,1,0
47340.66,Online,POS,Delhi,1,1,1,1
86137.25,Online,Mobile,Mumbai,1,0,0,1
71009.09,ATM,Mobile,Kolkata,0,0,1,0
91478.75,ATM,ATM,Kolkata,1,1,0,1
51689.61,ATM,Web,Hyderabad,0,0,1,0
86934.44,ATM,POS,Hyderabad,0,0,0,0
76593.55,ATM,ATM,Ahmedabad,1,0,1,1
86241,ATM,ATM,Chennai,0,0,1,0
45254.89,Online,ATM,Delhi,1,0,1,0
51359.3,Transfer,POS,Kolkata,1,0,1,1
82247.37,Transfer,Mobile,Chennai,1,0,1,1
46793.47,ATM,POS,Mumbai,0,0,1,0
27407.39,ATM,Web,Kolkata,1,0,1,1
14195.75,ATM,ATM,Pune,0,0,1,0
95062.14,Online,ATM,Chennai,0,0,1,1
71974.6,Transfer,Web,Bangalore,0,0,1,0
2122.47,Online,POS,Ahmedabad,0,0,1,0
72410.51,POS,POS,Ahmedabad,0,0,1,0
13313.87,ATM,ATM,Mumbai,0,0,0,0
17455.52,Transfer,Mobile,Hyderabad,1,1,1,1
98039.88,Transfer,Web,Bangalore,1,0,0,1
14481.31,Online,ATM,Bangalore,1,0,0,0
16683.28,Online,ATM,Ahmedabad,0,0,1,0
22212.57,Transfer,ATM,Pune,0,0,1,1
61507.64,POS,ATM,Chennai,1,0,1,1
94103.83,Transfer,POS,Ahmedabad,1,0,0,1
76305.63,Transfer,POS,Delhi,0,0,0,0
58014.54,ATM,Mobile,Hyderabad,1,0,1,1
81395.71,Transfer,Mobile,Chennai,0,0,0,0
83551.51,ATM,POS,Hyderabad,0,0,0,0
29736.2,Online,Mobile,Mumbai,1,0,1,0
59248.09,ATM,POS,Kolkata,1,1,1,1
33774.65,Online,POS,Delhi,0,0,1,0
706.71,POS,ATM,Ahmedabad,0,0,1,1
30037.42,ATM,Web,Pune,0,0,1,0
63423.09,ATM,Web,Kolkata,0,0,0,0
60224.31,POS,Web,Mumbai,1,0,0,1
70159.99,ATM,Web,Mumbai,1,0,0,1
58586.93,POS,Web,Pune,1,0,0,1
83587.32,POS,Mobile,Kolkata,0,0,1,0
40827.94,ATM,POS,Delhi,0,0,0,0
47148.76,Online,ATM,Chennai,0,0,0,0
90518.33,Online,Mobile,Bangalore,1,1,1,1
35323.06,ATM,POS,Chennai,0,0,1,0
6814.32,ATM,ATM,Kolkata,1,0,0,0
5450.46,Online,Web,Kolkata,1,0,0,0
29300.86,POS,ATM,Chennai,1,0,0,0
13259.82,Transfer,Web,Delhi,0,0,1,0
45066.23,Online,POS,Mumbai,1,0,0,0
34207.14,Transfer,Web,Hyderabad,1,0,1,0
84349.11,ATM,POS,Chennai,1,0,0,1
9936.96,Online,Web,Kolkata,0,0,0,0
74208.23,Online,Web,Chennai,0,0,0,0
3484.73,POS,ATM,Delhi,0,0,0,0
48626.3,ATM,Web,Bangalore,1,0,0,0
12167.2,Transfer,Web,Mumbai,0,0,0,0
76429.35,POS,Web,Pune,1,0,1,1
98698.31,Transfer,ATM,Hyderabad,1,0,0,1
36002.08,Transfer,ATM,Chennai,1,0,1,0
17883.91,Online,Web,Mumbai,0,0,0,0
80920.66,Online,ATM,Ahmedabad,1,0,1,1
65880.18,Online,Mobile,Bangalore,0,0,0,0
81478.28,Online,Mobile,Pune,1,0,0,1
21772.56,Transfer,POS,Hyderabad,0,0,0,0
78193.67,Transfer,Mobile,Mumbai,0,0,1,0
77876.35,Transfer,Mobile,Mumbai,0,0,0,0
45738.91,ATM,Mobile,Mumbai,1,0,1,0
13018.89,POS,ATM,Delhi,1,0,0,0
24540.89,Online,POS,Mumbai,1,0,1,1
69805.47,Transfer,POS,Delhi,0,0,1,0
19060.41,POS,ATM,Kolkata,0,0,1,1
51553.83,POS,POS,Chennai,0,0,1,0
63937.85,POS,POS,Bangalore,0,0,1,0
72070.44,POS,Web,Delhi,0,0,1,0
10915.88,ATM,POS,Hyderabad,1,1,1,1
80529.2,POS,ATM,Pune,1,0,0,1
99480.74,POS,Web,Bangalore,0,0,1,1
1384.97,Transfer,Mobile,Mumbai,0,0,0,0
87380.41,Online,POS,Kolkata,0,0,0,0
21364.75,Transfer,Web,Kolkata,1,0,0,0
36253.75,Online,POS,Mumbai,1,0,1,1
19333.52,POS,POS,Ahmedabad,1,0,0,0
59436.12,Online,POS,Kolkata,1,0,1,1
24636.16,ATM,Mobile,Bangalore,1,0,1,0
68404.11,Transfer,POS,Bangalore,1,0,1,1
50164.29,ATM,Mobile,Chennai,0,0,1,0
98323.74,ATM,Mobile,Pune,1,1,0,1
81538.98,Online,Web,Bangalore,1,1,0,1
79169.48,Online,POS,Pune,0,0,0,0
90512.45,Online,POS,Bangalore,0,0,0,0
17849.37,Transfer,Mobile,Bangalore,0,0,0,0
99664.23,ATM,Mobile,Chennai,1,0,0,1
23065.24,ATM,Web,Mumbai,1,0,0,0
75992.53,POS,Web,Delhi,1,0,1,1
44722.88,ATM,Web,Chennai,1,0,0,0
27518.69,Transfer,Mobile,Ahmedabad,1,0,0,0
43094.75,ATM,Web,Ahmedabad,0,0,1,0
95540.09,POS,POS,Kolkata,0,0,1,0
95908.64,Online,Web,Mumbai,0,0,1,0
42892.59,Online,Mobile,Hyderabad,0,0,0,0
14318.74,Transfer,ATM,Hyderabad,1,0,1,0
87583.57,Transfer,ATM,Chennai,0,0,1,1
11756.62,Online,Mobile,Ahmedabad,0,0,1,1
20962.85,Transfer,POS,Kolkata,0,0,1,1
65861.73,POS,POS,Chennai,0,0,0,0
34232.32,POS,POS,Delhi,0,0,0,0
73397.26,POS,POS,Hyderabad,0,0,1,0
45982.22,ATM,POS,Mumbai,0,0,0,0
43079.84,ATM,ATM,Ahmedabad,1,0,0,0
61065.88,ATM,Mobile,Chennai,1,0,1,1
59557.81,ATM,Web,Hyderabad,0,0,1,0
39760.35,Transfer,POS,Mumbai,0,0,0,0
89766.97,ATM,ATM,Mumbai,0,0,0,0
13909.67,Online,Mobile,Ahmedabad,1,0,0,0
34078.51,POS,Web,Hyderabad,1,0,0,0
82092.27,Transfer,Mobile,Mumbai,1,0,0,1
99487.65,Online,Mobile,Hyderabad,0,0,0,0
94475.53,Online,POS,Kolkata,0,0,1,0
17381.72,Online,POS,Pune,0,0,0,0
17803.1,ATM,Mobile,Ahmedabad,0,0,0,0
3099.23,Online,POS,Chennai,1,0,1,0
41708.48,Online,Web,Delhi,1,0,1,1
74696.86,POS,Web,Ahmedabad,1,1,0,1
43949.83,POS,Web,Chennai,0,0,1,1
7111.71,Transfer,POS,Pune,1,0,0,0
90511.65,ATM,ATM,Delhi,0,0,0,0
71698.6,ATM,Web,Ahmedabad,1,0,0,1
35258.12,Online,Web,Kolkata,0,0,1,0
94355.93,POS,POS,Chennai,0,0,1,0
61694.66,Transfer,Web,Chennai,1,0,1,1
34747.81,POS,POS,Delhi,0,0,0,0
36805,Transfer,POS,Mumbai,0,0,1,0
8208.07,ATM,POS,Hyderabad,0,0,1,0
75104.85,Online,Mobile,Hyderabad,1,0,0,1
33271.38,POS,Mobile,Bangalore,1,1,1,1
45027.23,ATM,ATM,Bangalore,0,0,0,0
39212.12,ATM,Web,Kolkata,0,0,1,0
13520.83,Online,ATM,Chennai,1,1,0,1
22663.91,ATM,ATM,Ahmedabad,0,0,0,0
24220.26,Transfer,ATM,Pune,1,0,0,0
57907.59,Online,POS,Bangalore,0,0,0,0
95264.63,Transfer,Web,Bangalore,0,0,0,0
90359.76,ATM,POS,Hyderabad,1,1,0,1
25250.19,POS,Web,Pune,1,0,0,0
16449.52,Online,ATM,Kolkata,1,0,1,1
56205.48,Online,ATM,Chennai,0,0,0,0
51206.47,Transfer,ATM,Kolkata,0,0,1,0
29115.67,ATM,ATM,Hyderabad,1,1,0,1
80445.25,POS,Web,Kolkata,1,0,1,1
19177.24,POS,Mobile,Ahmedabad,0,0,0,0
68747.74,Online,Web,Mumbai,0,0,1,0
